Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-44-6775-01A	4.92162873803794e-05	0	0.0363952891487804	0.0163533828488427	0	0.0296990898929379	0.0170843962144772	0.0127446077944014	0.0491359250430895	0	0	0.0189399276560348	0.00150134433389052	0.335074562527364	0.0400573256571809	0.204353799858505	0.126183611355038	0.0192217985113977	0.0702287131889327	0	0.011828587267382	0.0111484224143648	0	0.50465633186601	0.863303325446231
TCGA-86-6851-01A	0.00918292764094453	0	0.145337609232678	0.143753876868418	0	0.0676125633700706	0.0538180794574947	0.0436493300041398	0.0743312294777981	0	0.0788363968732514	0.0122681907393586	0.00183514945950294	0.100653952958691	0.0877056663440589	0.120904187339839	0.014973751053291	0	0.0451370891804638	0	0	0	0	0.460092548933552	0.888727656597187
TCGA-O1-A52J-01A	0.000702043330751125	0	0	0.0239760316375284	0	0.13476863136385	0	0.00542527403342261	0.0481420093690165	0	0	0.0353584634103222	0.209370521186196	0.0518787542245529	0.0107614348030122	0.275997300350513	0.0861353055936829	0.0503563622158008	0.0607304051496213	0	0.00184197416682432	0.0045554891649052	0.01	0.225075505130935	0.997789894614138
TCGA-78-7540-01A	0	0.0292372358932752	0	0.0245033164775562	0	0.0971241704839983	0	0.0144487865983079	0.0424377813628857	0	0	0.0861025964060797	0	0.236331734789519	0.0109571008061013	0.306288428970563	0.0683700778457874	0.0197079545916973	0.0644908157742289	0	0	0	0.04	0.183250457949295	1.032420187673
TCGA-86-8056-01A	0.0385135961373526	0	0.0408863669672824	0.0322041850526769	0	0.258291809416828	0	0.0276562706097156	0	0	0	0.0280392986987935	0.046469878014752	0.101177434224795	0.0579229914696631	0.197968875524195	0.0720046465139858	0.0136973802452658	0.072627254510088	0	0	0.0125400126146055	0.01	0.285017802049068	0.964974199546492
TCGA-05-4422-01A	0.0231095809594928	0.00105669656689538	0.140931031772266	0.245891510979427	0	0.113968590998631	0.015271487155811	0.0564257104256803	0.044144739271044	0	0	0.0322722302440367	0.0431214196484069	0.0446350217097282	0.0642215737840982	0.137834896433833	0.0181370382253693	0	0.0181472725336047	0	0	0.000831199291675565	0	0.332270299214255	0.946499888316374
TCGA-55-6978-01A	0.00614499857484359	0	0.023350378847118	0.272753322442103	0	0.0950097724174131	0.115055311900395	0.0392147519176594	0.00544704775488701	0.005663231196694	0.00205729163882338	0.00484644639710858	0.0214838385785416	0.0726632802029726	0.109634819169316	0.120201732166557	0.0791857790495901	0	0.0272879977459774	0	0	0	0	0.440925466146809	0.896681997756254
TCGA-55-7816-01A	0.0125747823779281	0	0	0.0332843678942522	0	0.122519227158215	0	0.000454611088672238	0.0105916294611034	0.00224231950705503	0	0.0558066640012934	0.0908592097882915	0	0.167276503911583	0.395211319448583	0.0387629273013483	0	0.0649620441522719	0	0	0.00545439390940264	0	0.476681619672194	0.878887880260602
TCGA-49-AARO-01A	0.04667116475505	0.0168782741674874	0.0291352778158074	0.0494965903712849	0	0.032821972471388	0	0.0429503176962875	0.0621420925693886	0	0	0.0486866984138827	0.0050850406124113	0.285966285004667	0.0543128821588535	0.126971640716805	0.128473794822149	0.0505538614072593	0.0040364009425067	0	0	0.0158177060747719	0	0.467189133836525	0.883465496632797
TCGA-55-6983-01A	0.046386344079525	0.139851637521396	0	0.111445668843538	0	0.1713098057496	0.0296298783177008	0.0367095199857432	0.0354793898888383	0	0	0.0381702114521705	0	0.155205591618075	0.0271644615917578	0.100987165628841	0.0402908247670244	0.00553031798054813	0.0614712491135057	0	0	0.000367933461736793	0.01	0.308505646343178	0.956623232806836
TCGA-86-7714-01A	0.00201194230073244	0.00183341837644306	0	0.0395661438405373	0	0.184481425236875	0.00164275381963429	0	0.024884027596037	0	0.0319298676732064	0	0.0381841632275278	0	0	0.131996881279831	0.346526982060656	0.0695639786079238	0.110690051994163	0	0	0.0166883639864322	0	0.331254777882198	0.948733009561751
TCGA-86-8074-01A	0.0386601375774227	0	0.0550036286479611	0.0172052867513628	0	0.142089007695789	0.00450489328493784	0.043832958903858	0.0569911875513649	0	0	0.0355962234625413	0.012698779012286	0.15979894800285	0.0714796563470926	0.20735752307222	0.10539523784771	0.0216464823456868	0.0125310919893451	0	0.00789671267305346	0.00731224483451838	0.01	0.284869944045953	0.96863747038841
TCGA-78-7143-01A	0.0328659099347007	0.00160298420296698	0	0.027777647292347	0	0.187384770841564	0	0.0450486305474186	0.0426697196228545	0	0	0.011247488377165	0.0331831911029931	0.0556375865012772	0.00556805682560487	0.144265077123428	0.170434351026162	0.179495353851696	0.0610415239074782	0	0	0.00177770884234334	0	0.430549927675701	0.901775043934709
TCGA-55-8620-01A	0.0140681313703455	0	0.234433319455252	0.0842022630987641	0	0.0242915314094025	0.0291769009763602	0.0348588904664914	0.0118781377358522	0.0151226373995837	0	0.045487661500328	0	0.1783789518308	0.108841339999117	0.121490315274888	0.0220431761942131	0	0.0721167838408739	0	0	0.00360995944772849	0	0.441312466698237	0.89764556853763
TCGA-75-6207-01A	0.0133781292625538	0	0.0124457680723787	0.0207156932451982	0	0.277272006289958	0	0.0167981740739088	0.013255993576404	0	0	0	0.0383158310865578	0.141733997734065	0.0140872583569108	0.267997863761692	0.0266311637532233	0.0899130064342972	0.0270877242107203	0	0	0.0403673901421323	0.01	0.246909153335727	0.990037049180567
TCGA-55-8092-01A	0	0.0228790845226679	0.350516440379754	0.267974732777321	0	0	0.0372475639219872	0.0135316847313904	0.0538729974845463	0	0	0.0244370845677602	0.00311867803409341	0.037260443972222	0.102835571431587	0.0591619133236396	0.000555518972516261	0	0.026608285880514	0	0	0	0	0.511563738231159	0.864585902161403
TCGA-50-5068-01A	0.00388030961306878	0.0540887770353879	0.148315232805483	0.130746667194808	0	0.0540329227325931	0.00230628769686911	0.0527850485789148	0.0198975202528889	0.024398422934157	0	0.0525428792084133	0.00869700206410781	0.0114481738935433	0.10788054579218	0.133143618003724	0.161735081157376	0	0.0328301753396261	0	0	0.00127133569685879	0	0.501803313718404	0.870736731717657
TCGA-86-8281-01A	0.0117826670068973	0.028257295274025	0.170523726612105	0.051331589449847	0	0.126243191106285	0.00861445972504789	0.0520964206066438	0.0612436584396065	0	0	0.0585218657673102	0.00732769956455761	0.0637664595341586	0.0429005218575967	0.13442490465382	0.0848284985635291	0.0201705468417379	0.0771801749077652	0	3.97003427188097e-05	0.000746619746348895	0.11	0.12622062209268	1.01792352124322
TCGA-78-7159-01A	0.00596609747622506	0	0.246631012067378	0.0404291109498221	0	0.220313569459975	0.0286082191037481	0.0241382006360217	0.0173098548808238	0	0	0.0721170314202809	0	0.129247849541957	0.0740311275293915	0.0553094661664578	0	0.022495275319029	0.010299823193039	0	0	0.0531033622558513	0.01	0.247667741961761	0.979898963360247
TCGA-MP-A4T6-01A	0.0580728549650556	0	0.0288921873331623	0.0460103067892548	0	0.174663857947834	0	0.0324571668510216	0.111066025651862	0	0	0.0194591906398947	0.00109278669926944	0.273525683745486	0.0759822182918817	0.084727731667894	0.0132017963250136	0.0203577514770315	0.060031018559745	0	0	0.000459423055594575	0	0.352437952938159	0.940508459381564
TCGA-55-8085-01A	0.0451237498175741	0	0.0406187343573184	0.167547466727608	0	0.0680647625389442	0.072699673518997	0.0403370191566065	0.0583871164577118	0	0	0.0386619542661327	0.0188481623311235	0.162415353349729	0.0969163978506333	0.116838968627171	0.0132074670678205	0.0281117782891411	0.0247716478695425	0	0	0.00744974777394715	0	0.344776344068315	0.942167632618378
TCGA-55-7227-01A	0.00725669312138815	0	0	0.0422324535716641	0	0.199751308480744	0	0	0.0455918642142302	0	0.0010119338964428	0.0228616646391808	0.0245085884705358	0.0905970657728911	0.0721332698227537	0.0897763071573144	0.289446947125398	0.0315598508197868	0.073853985811836	0	0	0.00941806709583371	0	0.499579458691074	0.867869126293163
TCGA-97-A4M5-01A	0.0122758876089151	0.0136785897776131	0	0.0388346798464465	0	0.18670727053015	0	0.00049655302015924	0.0103404545651309	0	0.0725460393725733	0.00872283426822831	0.0162798013926332	0.162436044195228	0.0593726228269541	0.27459501494851	0.0039852030964772	0.0119844956266553	0.122243606112946	0	0	0.00550090281138028	0	0.378187063806729	0.927578924304947
TCGA-49-4486-01A	0.0568461851913942	0	0.248831262413012	0.0654339864196604	0	0.154593812661482	0.00795099233104537	0.0419892845179497	0	0.0360443795938321	0	0.0344278343226544	0	0	0.05335030951037	0.187971477225848	0.0720349536560377	0.0159521006970705	0.0233598212629375	0	0	0.00121360019670618	0.09	0.149146617645463	1.01101260658154
